	source_file	annotator	irrelevance_span	irrelevance_reason	irrelevance_begin	irrelevance_end	irrelevance__sentence_text
0	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt	rachneet	"[""unfortunately, this isn't perfect, either from the very beginning or later in life, and it'll occasionally fail to delete immune cells that target particular proteins and the like on your own cells."", 'the list of autoimmune diseases is unfortunately']"	['None', 'The sentences are not related to the asked question but just talk about diseases in life in a generic way.']	[792, 992]	[990, 1040]	"['ANSWER2:\nOne of the early things your immune system does as it\'s developing is to ""learn"" what things it encounters are *you*. unfortunately, this isn\'t perfect, either from the very beginning or later in life, and it\'ll occasionally fail to delete immune cells that target particular proteins and the like on your own cells.', ""the list of autoimmune diseases is unfortunately [very long](https://www.webmd.com/a-to-z-guides/autoimmune-diseases) (and that's not anywhere near a complete list of them), but type 1 diabetes is one of those.""]"
1	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt	yixiao	['by attacking foreign invaders, such as viruses or bacteria', 'such as viruses']	"[""This is not relevant to the question which asks about immune system attacking someone's own cells."", ""Answer 2 only says our immune system attacks our own cells because it fails to do certain things but it doesn't say why it fails and how. The answer is too superficial.""]"	[199, 508]	[257, 523]	"[""ANSWER1:\nThe body's immune system is designed to protect us by attacking foreign invaders, such as viruses or bacteria. in people with type 1 diabetes, the body's immune system mistakenly attacks and destroys the insulin-producing cells in the pancreas. scientists believe this process is triggered by a combination of genetic susceptibility and environmental factors, such as viruses."", ""ANSWER1:\nThe body's immune system is designed to protect us by attacking foreign invaders, such as viruses or bacteria. in people with type 1 diabetes, the body's immune system mistakenly attacks and destroys the insulin-producing cells in the pancreas. scientists believe this process is triggered by a combination of genetic susceptibility and environmental factors, such as viruses.""]"
2	02062ffd-f0bb-4566-847c-fc7057d4ce0b.txt	yixiao	['your body immediately sends out rescuers in the form of fluids - those extra fluids in the tissues compress the small blood vessels/ capillaries']	['I am not sure how is the fluid related to pain feeling by reading this answer.']	[242]	[386]	['ANSWER1:\nAnswer:  your body immediately sends out rescuers in the form of fluids - those extra fluids in the tissues compress the small blood vessels/ capillaries.']
3	02408398-02c5-4afc-866d-4225e869d49a.txt	rachneet	"['in high school biology i was taught that an important part of the definition of a species is whether or not the offspring can breed true', ""say, because their ranges don't overlap""]"	['None', 'The sentences do not help in answering the question and oare rather confusing.']	[2954, 3251]	[3090, 3290]	"['(https://knowyourdna.com/humans-same-dna-as-bananas/)\n\nANSWER2:\n> in high school biology i was taught that an important part of the definition of a species is whether or not the offspring can breed true\n\nthat is a common, but not ironclad, definition of ""species"". there\'s no one definition that works universally: it can be ""can but usually *don\'t* interbreed"" (say, because their ranges don\'t overlap), or even just ""are genetically and morphologically distinct populations with little gene mixture"". in extreme cases this can get crazy: species a interbreeds with species b which interbreeds with c which interbreeds with d, but a can\'t interbreed with d.', '(https://knowyourdna.com/humans-same-dna-as-bananas/)\n\nANSWER2:\n> in high school biology i was taught that an important part of the definition of a species is whether or not the offspring can breed true\n\nthat is a common, but not ironclad, definition of ""species"". there\'s no one definition that works universally: it can be ""can but usually *don\'t* interbreed"" (say, because their ranges don\'t overlap), or even just ""are genetically and morphologically distinct populations with little gene mixture"". in extreme cases this can get crazy: species a interbreeds with species b which interbreeds with c which interbreeds with d, but a can\'t interbreed with d.']"
4	02408398-02c5-4afc-866d-4225e869d49a.txt	yixiao	"['it can be ""can but usually *don\'t* interbreed"" (say, because their ranges don\'t overlap), or even just ""are genetically and morphologically distinct populations with little gene mixture"". in extreme cases this can get crazy: species a interbreeds with species b which interbreeds with c which interbreeds with d, but a can\'t interbreed with d.']"	"[""This part doesn't explain why Homo sapiens and Neanderthals had true interbreeds.""]"	[3203]	[3546]	"['(https://knowyourdna.com/humans-same-dna-as-bananas/)\n\nANSWER2:\n> in high school biology i was taught that an important part of the definition of a species is whether or not the offspring can breed true\n\nthat is a common, but not ironclad, definition of ""species"". there\'s no one definition that works universally: it can be ""can but usually *don\'t* interbreed"" (say, because their ranges don\'t overlap), or even just ""are genetically and morphologically distinct populations with little gene mixture"". in extreme cases this can get crazy: species a interbreeds with species b which interbreeds with c which interbreeds with d, but a can\'t interbreed with d.']"
5	0242d81a-2c1b-4021-9aa1-c5cfcf38a784.txt	yixiao	['Many plants will readily grow in water, this is called hydroponics']	['This part does not tell useful information for answering the question. This information is also not used in the later part of the answer.']	[118]	[184]	['ANSWER1:\nMany plants will readily grow in water, this is called hydroponics \nhttps://en.m.wikipedia.org/wiki/hydroponics\n\nyou can kill a plant by overwatering it by drowning the roots, or by adding too much water too often and not allowing the plant to dry out some between watering, this can cause root rot which is fatal, or by adding chemicals or fertilizers to the water which can build up and become toxic\n\nQUESTION:\nHow can i kill a plant by overwatering it, yet propagations of the same plant will grow in water?']
6	03235d4c-dcb0-4cac-8dc2-5d17b072f5ac.txt	rachneet	['the air that comes out of your nose and mouth during a sneeze can reach speeds of up to 100 miles per hour!', 'in fact, a sneeze is one of the fastest human body reactions. it only takes about 0.1 seconds from the time the sneeze center is stimulated until the air starts to escape.']	['The speed of air during a sneeze is not relevant here.', 'reaction time of a sneeze is also not very relevant.']	[1403, 1511]	[1510, 1682]	['the air that comes out of your nose and mouth during a sneeze can reach speeds of up to 100 miles per hour!', 'in fact, a sneeze is one of the fastest human body reactions. it only takes about 0.1 seconds from the time the sneeze center is stimulated until the air starts to escape.']
7	04ac3833-c4d7-4bcb-a3f4-f133819ef4df.txt	yixiao	"[""Sleep is a very active state for the brain. it's during sleep that the brain consolidates memories, processes and organizes information, and regulates mood and emotions.""]"	"[""This part doesn't answer the question but to confirm that brain is active in sleep.""]"	[1177]	[1346]	"[""ANSWER2:\nSleep is a very active state for the brain. it's during sleep that the brain consolidates memories, processes and organizes information, and regulates mood and emotions. sleep also gives the brain time to rest and repair itself.""]"
8	05b4333c-1c42-4ede-b62c-830c38cbfea2.txt	rachneet	"['when you look at a bright light, the light activates the rods and cones in your retina. the rods and cones are light-sensitive cells that send signals to the brain about the light that they are seeing. the brain then interprets these signals as an image. the ""mark"" that you see when you look at something bright is actually an afterimage. an afterimage is an image that continues to be seen even after the original image is no longer being seen. afterimages can be positive or negative. a positive afterimage is when the image is the same color as the original object. a negative afterimage is when the image is the opposite color of the original object.']"	['These sentences are repetitive an add no new information to the answer.']	[2210]	[2865]	"['the ""mark"" that you see after looking at a bright light is a positive afterimage. when you look at a bright light, the light activates the rods and cones in your retina. the rods and cones are light-sensitive cells that send signals to the brain about the light that they are seeing. the brain then interprets these signals as an image. the ""mark"" that you see when you look at something bright is actually an afterimage. an afterimage is an image that continues to be seen even after the original image is no longer being seen. afterimages can be positive or negative. a positive afterimage is when the image is the same color as the original object. a negative afterimage is when the image is the opposite color of the original object.']"
9	0725d873-e32c-4c8e-bbcf-8e3eb6a8a0cd.txt	yixiao	"[""There are some minor benefits however the primary benefit of exercise is not the sweat, it's the building of muscle, the increased heart rate, and all the usual stuff. you don't get healthier from reg exercise *because you sweat*, you get the benefits *and you sweat*.""]"	['The whole answer seems focuses on exercise and how is that beneficial to health. It is not what the question asks.']	[480]	[748]	"[""ANSWER2:\nThere are some minor benefits however the primary benefit of exercise is not the sweat, it's the building of muscle, the increased heart rate, and all the usual stuff. you don't get healthier from reg exercise *because you sweat*, you get the benefits *and you sweat*.""]"
